"review_text","review_stars","review_auth_id","review_date"
"Some of business Friend took me to this hidden gem for a business dinner! I was blown away for the setting of the restaurant and most importantly the food quality! Well done and would be back","5 из 5 кружков","1ECCE1F061552126F24810E2F06995ED","6 марта 2017"
"We just went to the Brasserie Flo for lunch and where surprised by the service. Having been there before, we were still amazed by the very attentive and friendly service. After the service asked us if this is our first time in B.F., she (Julie) brought us a ""Welcome back cake"" and even took two Polaroid pictures for us, which...
Ещё ","5 из 5 кружков","A2696424481C49D250BB76B0CE733F4D","3 марта 2017"
"During a very short trip to Beijing, we made the most of local restaurants as we were keen to try the regional specialities. However, we were invited to Chez Flo for a business lunch and did not regret it. We dined in a private room for 10. The food and service were both top notch. We started with a shellfish...
Ещё ","4 из 5 кружков","783BA7B7ED2190AEDE6C9DFE923FCF7E","19 февраля 2017"
"We came here in a group of 3 to celebrate my friends birthday. It was my first time here and was surprised by the beautiful environment and all the handsome and attentive waiters. I would love to say the food was amazing however there was two things.. two of the main dishes we had was not up to standards Nr...
Ещё ","4 из 5 кружков","269FCAD9F3A7CF22275A6B0997202058","Отзыв написан 28 января 2017"
"Went there with a friend last week, happened be a Michelin Chef week. The best was black truffle soup, so creamy, smooth and tasty... during dessert, Chef and his wife come to say hello, what a honor! When we left even got some gift, really made my day !","5 из 5 кружков","857FC75B6B356C76B7F5ACE1F1FBA2A7","Отзыв написан 25 января 2017"
"Great French dishes in this restaurant, including fresh imported seafood. Oysters are the best there. It has a spacious dining area, including their own signature patisserie. The service is great and the whole dining experience is nice","5 из 5 кружков","2E1DD600CE87C17B3C9F62743FDE37E0","Отзыв написан 14 января 2017"
"Came to celebrate my year end at FLO, its once again a great experience, this time I enjoyed the oyster platter which is just so fresh, I also ordered the Australian steak which is cook to my needs, i was also offered a glass of mulled wine to keep my self warm, the canelle gift at the end is still...
Ещё ","5 из 5 кружков","0568549BA48D44D1F87F568A4F0393B2","Отзыв написан 11 января 2017"
"Fresh oysters, steak ,delectable desserts, great wine - everything plated was well executed. Attentive service from team. Great for events and small group gatherings - which was where I got to sample a variety of desserts - creme bruele, lemon merengue pie, canales, macaroons, opera cake, and some others.","5 из 5 кружков","B7958E9122B2850D0CB7F21CD69A3379","Отзыв написан 2 января 2017"
"Absolutely good food! Steak Tartare is a must try! Main courses could be more French but the steaks are really great with the accompanied Red Wine Sauce. Great wine selection and great service! A restaurant not to miss when looking for Western food in Beijing!","4 из 5 кружков","646DD783E1AA906AF859D15E00BEA768","Отзыв написан 7 ноября 2016"
"This Restaurant offers perfect dining and perfect service. The atmosphare is classic and noble, like the upper class in Paris. The behavior of the international waiter team is brillant. We could also enjoy the extraordinary smart service of the Restaurant Manager Hubert GAGEY. His considerate support was a pleasure for us and we hope, that we can enjoy the perfect...
Ещё ","5 из 5 кружков","B640244C31B923CC0084479AD3F7AADF","Отзыв написан 3 ноября 2016"
