"review_text","review_stars","review_auth_id","review_date"
"We came to this branch of Haidilao for hot pot and this is the real thing ! You start by making your own sauce to use with your hot pot set. The portions are very generous and delicious. The service is very professional (and quite spectacular, you can see staff stretching noodles quite acrobatically for you). A visit there is...
Ещё ","5 из 5 кружков","B4E17FCD960833F916CA9D5775535ABA","Отзыв написан 2 февраля 2017"
"Relatively new outlet of this premium Sichuan hotpot chain. High-quality ingredients - mushrooms, beef, tripes, etc; very good soup and...
Ещё ","4 из 5 кружков","0A27D3B0E5DF97D72EDBC29C65A5184A","Отзыв написан 11 мая 2016"
"Staff were kind and friendly. Hot pots built into the centre of the table. Good quality ingredients, wide choice. Very popular locally. Part of a chain of haidilao, so feels polished in terms of operation. Would recommend as a solid choice if you want a hot pot in this part of town, note that tables are limited to 8 people,...
Ещё ","4 из 5 кружков","72CF7DE9EAE316B790474A7BBE93255E","Отзыв написан 2 марта 2015"
