"review_text","review_stars","review_auth_id","review_date"
"We ordered a whole duck at the time of booking and when we arrived they didn't seem to have any recollection of it! When the duck finally came we were not given the whole duck just part of it! When we questioned this we were told 'our ducks are small' this was not a small duck!! The food was nice...
Ещё ","3 из 5 кружков","677530980970226CBCC6548C2816515D","14 февраля 2017"
"In a Group of six persons, we where having dinner at the wish. Good food, nice atmosphere and live music made this a remarkable event.","4 из 5 кружков","9267A5571B067A8B0DF9371BC4A3EA96","Отзыв написан 14 ноября 2016"
"I was taken to this restaurant by good Chinese friends. I was grateful to them to have introduced me to such great place in Beijing. The food is excellent in taste, quality and presentation. The restaurant is a very special place in a garden setting , with modern design furnishings enhancing the overall dining experience. The service is attentive, all...
Ещё ","5 из 5 кружков","77E1F47915236C0FF6FA395E7E042583","Отзыв написан 28 октября 2016"
"This restaurant is located in the Lido area, therefore it is a bit more stylish then usual Chinese restaurant. Nevertheless it is still traditional style and very beautiful. Dishes are very good and have sometimes a slight western touch e.g. roasted duck is served with sweet chutney but not too much (Because I love real Chinese food :-) ) A...
Ещё ","5 из 5 кружков","7263AB0F03031911BE4486D64285C6D3","Отзыв написан 8 октября 2016"
"The service pretty good, minus the fact that the buzzer on the table a) didn't work or b) was ignored. I pressed it 3 times and no one came until I called. The food a Chinese fusion was acceptable. It wasn't that amazing to be honest. The atmosphere was top notch though, with indoor and outdoor seating!!","4 из 5 кружков","E47A10AAA7EE52C02CC2DD140452D912","Отзыв написан 22 августа 2016"
"Located in the Lido arena with both indoor and outdoor seating Wish is an excellent fusion restaurant. The prices are higher average and it is justified by the presentation on the plates and the taste. Service was excellent.","5 из 5 кружков","B2C3A9A3AD4D3199A1FEFAE3856390A7","Отзыв написан 25 июня 2016"
"Great food in a modern atmosphere. With good weather the veranda is very pleasant. The food is terrific and the service is good","5 из 5 кружков","52645E73BDEBD7E1CC3EA1367EF15ECF","Отзыв написан 2 июня 2016"
"The restaurant is a nice place, very well decorated. Service is friendly. The food is quite unique in Beijing: an excellent fusion cuisine, each dish being actually quid spectacular. Very nice atmosphere and excellent dinner","5 из 5 кружков","769AC8A1F0DD83DC600D2D80F3BE4B55","Отзыв написан 25 мая 2016"
"Beijing duck, Peking duck - excellent, the salads beautiful and the tiramisu to die for. Decor is funky. Service is great. Overall a memorable experience","5 из 5 кружков","A2A641BDD3449514D5CE257C3813B2BE","Отзыв написан 20 декабря 2015"
"We had our best ever meal in Beijing here last night with friends and celebrations Staff are attentive and the food is a fusion style with emphasis on presentation. The place is large and the menu is presented like a book with photos so it's easy to choose","5 из 5 кружков","B1FB9C8597BB2C69FD08EB32B71B16BC","Отзыв написан 15 декабря 2015"
"I visited Wish already the second time. The location near Xiaoyun bridge is good. The restaurant has a nice, stylish atmosphere. You find several small rooms which are connected. The service is outstanding good. The food was excellent especially the baked oysters and the sole. Also the wine list offers a basic selection of international wines. The highlight at Wish...
Ещё ","5 из 5 кружков","04EB00128BD2E2942B10DD7637A2504C","Отзыв написан 30 ноября 2015"
"I joined some friends for dinner last evening. We had an amazing experience from the time we were greeted by friendly and helpful hosts until the time we left being thanked by multiple people. Service was timely, friendly, yet professional. The menu selection offers many options. We had Mandarin fish, beef, shrimp, asparagus with garlic, duck with all the compliments...
Ещё ","5 из 5 кружков","01E54B5E4B68C038029BDC0403E6A263","Отзыв написан 10 сентября 2015"
"Chinese restaurant food in the formal setting used to be so memorable, tasty and exciting. Now this so called fusion food - code for less effort and cost in the food and excess on the decor seems to be all the rage. My advice look for something traditional.","3 из 5 кружков","8AFF59571440887D867889CF8B7C72DA","Отзыв написан 1 сентября 2015"
"The Wish/Hutong has a nice frontage of a bamboo hedge. There are tables in the courtyard for a more casual...
Ещё ","4 из 5 кружков","448D86B84AFA8F11526602F8036B5F5A","Отзыв написан 14 июля 2015"
"Very popular and fancy restaurant. Fusion Chinese food. We don't understand why it's so popular though. The service is so-so. Small portion of dishes and really forgettable. To me, not worth the price.","3 из 5 кружков","0A4E507C544F3079546B4388C1F77D6E","Отзыв написан 3 июля 2015"
"Have eaten here now a few times and every time it has always been very good and at times excellent....
Ещё ","5 из 5 кружков","2F6E7FC32D6092FDB5092DFD19FAC624","Отзыв написан 21 апреля 2015"
"Excellent food, very formal and pleasant atmosphere. Went here with work associate just before leaving Beijing. Wished I had gone earlier as it was just down the street from our Traders Hotel.","5 из 5 кружков","E4A55D961AE1B05088939B84ED45C0E9","Отзыв написан 18 февраля 2015"
"Really enjoyed dinner. Outside the ambience is relaxed and friendly. Inside decor is very interesting and feels similar. The service was prompt and timings perfectly judged. Good portions and without fail all dishes tasted great. Staff are attentive but you don't notice them until you need them. Dropped a chop stick and the waitress brought another before I could pick...
Ещё ","5 из 5 кружков","98592EAC25E6379C8ACAD9FD2673802A","Отзыв написан 26 декабря 2014"
"this place could have been in SF or NYC, but this is meant in a good way. Small portioned plates, almost tapas-style. Asian with a twist. We ordered foie gras (banned in my home state of California now), a waldorf-style salad (just OK), one dungeness crab (a little disappointing, not recommended), pork belly which was outstanding and a spicy chicken...
Ещё ","4 из 5 кружков","B8B14A2D416E004C85C510678CB1A2D1","Отзыв написан 18 ноября 2014"
"Since many year we patronise this restaurant, when in Beijing. Food is delicious the location is nice( next to the Lidopark) and prices are ok. If the weather in Beijing permits sitting outside is fine.","5 из 5 кружков","79A63D4BF73E3590F5FD0E34F7962955","Отзыв написан 19 октября 2014"
"When you are in China/Beijing you want to visit a traditional chinese restaurant. And you should. However this one is also a must on your list. Combine the traditional chinese food with the over the top modern feel of the chinese and you get Wish.... Great decoration, a bit over the top but not too much, nice seating, live jazz/lounge...
Ещё ","5 из 5 кружков","B089AE951D91A4E3792AD7B4F4C03D16","Отзыв написан 14 октября 2014"
