"review_text","review_stars","review_auth_id","review_date"
"Wir haben uns von Morton's in z.B. New York bereits an die hohen Preise gewohnt - dafur kamen sonst allerdings...
Ещё ","2 из 5 кружков","4111356B696845B5FAE1DC7E7ABBCDD7","15 марта 2017"
"Beef here was very good. The steaks here are very delicious. Service is good. Staff is very courteous.","4 из 5 кружков","A0DD7E2B2E47AA93695FC31769DED702","8 марта 2017"
"I don't normally stop at a Western Steak House when in China but I was here for a reception and I must say it was delightful. The selection of heavy appetizers and wines were all first rate and I must say it was nice to relax in someplace so familiar after being out almost two weeks in China. The Morton's...
Ещё ","4 из 5 кружков","6E879610EABA2D4318BB49F318249E9A","4 марта 2017"
"This was our second time diner here. 1st time was when it opened about 5-6 years ago. This second experience was bad. Food quality was poor including its famous steak. Tuna tartar was not fresh too. Probably due to cost cut...","1 из 5 кружков","119FC580CF8DE0BA4AC1BB1E9ADFD3C3","Отзыв написан 22 января 2017"
"Overall the steak was very good but the crab cakes were average as compared to the one we had in Morton Singapore. Service was slow and inattentive perhaps due to our table being near the kitchen. Crumbs on the table were not cleared before our main meal. This is so unlike the great quality services which we had enjoyed at...
Ещё ","4 из 5 кружков","68241B2043B7E6D5F7CECF436AD8F273","Отзыв написан 12 января 2017"
"Since this Morton's joint has opened it has been a place where i know I will be welcomed and served exactly what I expect. It must that the GM has welcomed me always with the same great smile that i found almost 4 years ago or the drinks that are Manhattans Dead Rabbit's level that make me feel warm and...
Ещё ","5 из 5 кружков","11549ADE936556A4823F44B32DD2DD90","Отзыв написан 20 ноября 2016"
"The prices is high but you will eat the best beef in beijing !!!. The rest is open only Sunday for lunch the rest of the day is only for dinner","5 из 5 кружков","59506DCE905A2E228E24FE375BA3EB8F","Отзыв написан 26 октября 2016"
"We wanted to stay in and have a quick meal after arrival. This was one of the only places open when we arrived so our choice was limited. We just couldn't believe the prices. This was so overpriced that it overshadowed the quality of the meal which was very good. We ate outside the hotel all other nights.","3 из 5 кружков","F56AD7B9E2C6179ABE37EF0AC0652E52","Отзыв написан 24 октября 2016"
"Had a group function in here which was sensational. Great staff and very attentive service. Had one of the best...
Ещё ","5 из 5 кружков","DA03321B35A5A7B17AE1CEB8958FEAA0","Отзыв написан 22 октября 2016"
"Located in Regent hotel. Was late so most restaurants were closed. There is the restaurant and the bar area with seats and tables for lighter fare. Didn't want huge meal or go bankrupt so chose bar area. Burgers, were really, really good. Again pricey but wanted something reliable.","4 из 5 кружков","E53CC95A992B807CE0C7A2D10BF24094","Отзыв написан 12 октября 2016"
"Beef here was very good. The steaks here are very delicious. Service is good. Staff is very courteous.","4 из 5 кружков","A0DD7E2B2E47AA93695FC31769DED702","8 марта 2017"
"I don't normally stop at a Western Steak House when in China but I was here for a reception and I must say it was delightful. The selection of heavy appetizers and wines were all first rate and I must say it was nice to relax in someplace so familiar after being out almost two weeks in China. The Morton's...
Ещё ","4 из 5 кружков","6E879610EABA2D4318BB49F318249E9A","4 марта 2017"
"This was our second time diner here. 1st time was when it opened about 5-6 years ago. This second experience was bad. Food quality was poor including its famous steak. Tuna tartar was not fresh too. Probably due to cost cut...","1 из 5 кружков","119FC580CF8DE0BA4AC1BB1E9ADFD3C3","Отзыв написан 22 января 2017"
