"review_text","review_stars","review_auth_id","review_date"
"Last night I came over with a friend and my dinner experience was just superb. I take la foret as a starter very very good and then a beef nicely cook and the side dish was good and tasty !!! Well done guy is a long time I didn't eat like this in beijing you make my day. Will definitely...
Ещё ","5 из 5 кружков","4DC6BF8131865133853F51FB1B9ED204","Отзыв написан 10 февраля 2017"
"My friend and I decided to meet up after a lot of day drinking. I was at a wine tasting event and he was at a rum tasting event so we were lite like a Christmas tree by the time we arrived at Azur. The staff was very friendly too us and kind. We were actually the only foreigners in...
Ещё ","5 из 5 кружков","E47A10AAA7EE52C02CC2DD140452D912","Отзыв написан 4 февраля 2017"
"We had already tried the well known Azur offering twice before sitting down to their newly launched weekend brunch recently. It is definitely a marvelous way to spend time with friends and family who equally love great quality food meet creative and loving preparation. They have Parisian style seafood platter with king crab legs, oysters directly from France, caviar, different...
Ещё ","5 из 5 кружков","0B187F216A071E5B34A7B6232ED784E0","Отзыв написан 18 октября 2016"
"Three of us went there for dinner. When we got served bread, we ask for the bread to be toasted. The waiter first said fine, and went away. When he return with the supposedly toasted bread, it was still cold. We therefore ask for it to be properly toasted, his response was if the bread was toasted the bread would...
Ещё ","1 из 5 кружков","33C258CE3AD053439D68A8FDD614DEB8","Отзыв написан 24 сентября 2016"
"Had only 1 night free of tour program and decided to have dinner at Azur. The experience was rewarded with beautiful plating of new taste and texture using both local and imported ingredients. After the manager/sommelier learned that we are from Northern California wine country, he decided to pair us with two wines for all the dishes. Food was expertly...
Ещё ","5 из 5 кружков","9C0C377FB6FDE9BB0B72D8C9FF82157A","Отзыв написан 7 сентября 2016"
"Azur is the best new fine dining restaurant in Beijing! For a metropolis like Beijing, top-level fine dining restaurants are...
Ещё ","5 из 5 кружков","911D04514949FD9B1335883D13B0B338","Отзыв написан 26 июля 2016"
