"review_text","review_stars","review_auth_id","review_date"
"Also read the comments, decided to go to this restaurant to taste their eel rice, the taste is really good, is a small component of the point, Nagoya Pork Chop sauce, Nagoya style chicken wings, special flavor eel meal are their signs. They have two restaurant , just in the Tai Koo Li for walk, I decided to go to...
Ещё ","5 из 5 кружков","D6BDD3A316FB8A920163714E32061B42","Отзыв написан 26 мая 2016"
"Went there for my birthday with a friend. Both of us loved the food there, ingredients used were fresh, and service was good too!","4 из 5 кружков","05C52ACC65EAA831B9AFB387E526B7DF","Отзыв написан 21 марта 2015"
