"review_text","review_stars","review_auth_id","review_date"
"We had a banquet, the highlight of which was the delicious roast duck. There were mountains of food and a beer each for <U+00A3>20 per head. The flavours were not dissimilar to those in a good Chinese restaurant in England but the quality was superb.","5 из 5 кружков","D2522D55677ED3F8C7F4C7C8E7157C7F","Отзыв написан 5 сентября 2016"
"I didn't realise how lovely and delicious of roast duck are before I tried here. It's really crispy and yummy. Beautiful restaurant, clean and comfort. Staff are kind.","4 из 5 кружков","4D3275F67E98DC04EE6BA730F7285BFF","Отзыв написан 8 ноября 2015"
"didnt realise we were goin to eat here so a luvly suprize. Food was luvly & they carve duck prefectly of coarse. Beautiful restaurant all us couples luved it","4 из 5 кружков","FB629C17C43978A254122C13ED5C0BEB","Отзыв написан 28 июля 2015"
"I liked so much the skin of Beijing Duck the taste is fantastic but not the duck's meat that much. Unfortunately you need to eat the sking and much more meat of the duck together to have the balance :(.","4 из 5 кружков","091F57A477214B656F234BC7109E0D36","Отзыв написан 25 июня 2013"
"I was fortunate enough to find my FAVORITE restaurant/bar in china on my first visit! God willing, I'll be back...
Ещё ","5 из 5 кружков","0FFBDBCE91ED921AFCC6A777ED488D2B","Отзыв написан 24 апреля 2013"
"Supposed to serve traditional Peking Duck and did but there was only two small slices of it on the plate....
Ещё ","3 из 5 кружков","3098F60B3947886D8F1154B11DF15768","Отзыв написан 17 марта 2013"
