"review_text","review_stars","review_auth_id","review_date"
"Strange name for a Mexican place. Hffousa really? Maybe I'm missing something? Is it an acronym? If not then definitely strange, sounds like something African, possibly out of the Lion King movie. Anyway I went in and was seated, bizarre aspect #2. There is a menu board all along in front of the cooking area like you would expect from...
Ещё ","4 из 5 кружков","381FDCBBB8B27A61F4A03F62A3FC2778","18 февраля 2017"
"I've been to Hffousa Taco perhaps 15 times now and I enjoy it every time I go. I've brought several friends and each one of them have also enjoyed it. The food is fresh, the prices are reasonable, and the staff are friendly.","5 из 5 кружков","9A1CF6B1DCDD4AEFE3D280D8B49BBDD9","Отзыв написан 9 февраля 2017"
"Really enjoyed our meal at Hffousa Taco, the ingredients are fresh and all the meals we ordered were delicious. The manager went above and beyond when it was one of our groups birthday - thank you Good mojitos and I think the brownie was THE best The decorations for Halloween were lots of fun.......","5 из 5 кружков","50174E36112932B8FD9BFCCEA04FC80E","Отзыв написан 26 октября 2016"
